@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute handpos-1 {0,1,2,3,4,5}

@data
3969,'2017/02/21 02:16:30:213',8,-193.149078,22.797523,3
3970,'2017/02/21 02:16:30:229',8,-193.149078,22.797523,3
3971,'2017/02/21 02:16:30:246',8,-193.149078,22.797523,3
3972,'2017/02/21 02:16:30:261',8,-193.149078,22.797523,3
3973,'2017/02/21 02:16:30:278',8,-193.149078,22.797523,3
3974,'2017/02/21 02:16:30:295',8,-193.149078,22.797523,3
3975,'2017/02/21 02:16:30:312',8,-193.149078,22.797523,3
3976,'2017/02/21 02:16:30:329',8,-193.149078,22.797523,3
3977,'2017/02/21 02:16:30:345',8,-193.149078,22.797523,3
3978,'2017/02/21 02:16:30:362',8,-193.149078,22.797523,3
3979,'2017/02/21 02:16:30:379',8,-165.750122,-3.813477,3
3980,'2017/02/21 02:16:30:396',8,-158.565948,-4.636574,3
3981,'2017/02/21 02:16:30:412',8,-150.326752,-4.693443,3
3982,'2017/02/21 02:16:30:430',8,-142.767242,-5.424667,3
3983,'2017/02/21 02:16:30:446',8,-135.013779,-7.458824,3
3984,'2017/02/21 02:16:30:462',8,-127.962601,-9.096313,3
3985,'2017/02/21 02:16:30:479',8,-127.214981,-10.620895,3
3986,'2017/02/21 02:16:30:495',8,-126.584061,-12.46814,3
3987,'2017/02/21 02:16:30:513',8,-125.60968,-14.183243,3
3988,'2017/02/21 02:16:30:529',8,-124.556519,-14.745544,3
3989,'2017/02/21 02:16:30:545',8,-124.709579,-14.75676,3
3990,'2017/02/21 02:16:30:562',8,-125.722092,-15.085114,3
3991,'2017/02/21 02:16:30:579',8,-126.747742,-14.729294,3
3992,'2017/02/21 02:16:30:598',8,-127.712128,-15.469589,3
3993,'2017/02/21 02:16:30:612',8,-128.126144,-15.149719,3
3994,'2017/02/21 02:16:30:629',8,-128.926498,-14.838715,3
3995,'2017/02/21 02:16:30:646',8,-129.765381,-14.855698,3
3996,'2017/02/21 02:16:30:662',8,-130.610123,-13.210007,3
3997,'2017/02/21 02:16:30:678',8,-131.796234,-12.196899,3
3998,'2017/02/21 02:16:30:695',8,-132.402954,-11.869492,3
3999,'2017/02/21 02:16:30:711',8,-132.730896,-11.442001,3
4043,'2017/02/21 02:16:31:444',8,-150.192749,-4.115753,3
4044,'2017/02/21 02:16:31:460',8,-150.692673,-3.632813,3
4045,'2017/02/21 02:16:31:478',8,-151.747772,-2.902328,3
4046,'2017/02/21 02:16:31:492',8,-152.415527,-2.271515,3
4047,'2017/02/21 02:16:31:510',8,-152.380463,-1.008926,3
4048,'2017/02/21 02:16:31:526',8,-152.616821,0.527496,3
4049,'2017/02/21 02:16:31:543',8,-152.933289,0.991348,3
4050,'2017/02/21 02:16:31:560',8,-152.98024,2.124252,3
4051,'2017/02/21 02:16:31:577',8,-151.950806,3.496521,3
4052,'2017/02/21 02:16:31:593',8,-151.395538,3.455231,3
4053,'2017/02/21 02:16:31:611',8,-151.187393,3.443375,3
4054,'2017/02/21 02:16:31:627',8,-152.435043,3.294983,3
4055,'2017/02/21 02:16:31:644',8,-153.705795,3.202316,3
4056,'2017/02/21 02:16:31:660',8,-154.509659,3.235611,3
4057,'2017/02/21 02:16:31:677',8,-153.754532,2.512238,3
4058,'2017/02/21 02:16:31:693',8,-153.661301,2.332108,3
4059,'2017/02/21 02:16:31:710',8,-154.005447,2.008942,3
4060,'2017/02/21 02:16:31:726',8,-154.379684,1.982361,3
4061,'2017/02/21 02:16:31:743',8,-155.280334,2.144958,3
4062,'2017/02/21 02:16:31:760',8,-155.505157,1.647369,3
4063,'2017/02/21 02:16:31:777',8,-156.322662,1.509506,3
4064,'2017/02/21 02:16:31:792',8,-156.176514,1.488037,3
4065,'2017/02/21 02:16:31:809',8,-156.091797,1.295731,3
4066,'2017/02/21 02:16:31:827',8,-156.039368,0.852127,3
4067,'2017/02/21 02:16:31:843',8,-156.336487,-0.032272,3
4068,'2017/02/21 02:16:31:860',8,-156.2715,-0.889297,3
4069,'2017/02/21 02:16:31:876',8,-157.084976,-1.037216,3
4070,'2017/02/21 02:16:31:892',8,-157.120804,-1.155945,3
4071,'2017/02/21 02:16:31:908',8,-157.417084,-1.076904,3
4072,'2017/02/21 02:16:31:925',8,-157.564514,-1.038956,3
4073,'2017/02/21 02:16:31:943',8,-158.082214,-1.306656,3
4074,'2017/02/21 02:16:31:975',8,-158.38446,-1.473083,3
4075,'2017/02/21 02:16:31:991',8,-158.71521,-1.447906,3
4076,'2017/02/21 02:16:32:008',8,-158.71521,-1.447906,3
4077,'2017/02/21 02:16:32:025',8,-158.541656,-1.626236,3
4078,'2017/02/21 02:16:32:042',8,-158.471451,-1.901382,3
4079,'2017/02/21 02:16:32:059',8,-158.62619,-2.088806,3
4080,'2017/02/21 02:16:32:076',8,-158.607941,-2.506577,3
4081,'2017/02/21 02:16:32:091',8,-158.475922,-3.063065,3
4082,'2017/02/21 02:16:32:112',8,-158.150131,-4.190002,3
4083,'2017/02/21 02:16:32:125',8,-157.875244,-5.063675,3
4084,'2017/02/21 02:16:32:141',8,-157.61058,-5.599319,3
4085,'2017/02/21 02:16:32:159',8,-157.366547,-6.05072,3
4086,'2017/02/21 02:16:32:175',8,-157.053635,-6.503662,3
4087,'2017/02/21 02:16:32:191',8,-156.866364,-6.669403,3
4088,'2017/02/21 02:16:32:208',8,-157.151657,-6.325867,3
4089,'2017/02/21 02:16:32:224',8,-156.949295,-5.868668,3
4090,'2017/02/21 02:16:32:242',8,-156.957947,-4.635391,3
4091,'2017/02/21 02:16:32:259',8,-157.014664,-3.851044,3
4092,'2017/02/21 02:16:32:274',8,-157.137756,-2.882217,3
4093,'2017/02/21 02:16:32:291',8,-157.110153,-1.977097,3
4094,'2017/02/21 02:16:32:313',8,-157.694519,-2.659561,3
4095,'2017/02/21 02:16:32:325',8,-158.785645,-3.115738,3
4096,'2017/02/21 02:16:32:346',8,-160.180984,-5.039566,3
4097,'2017/02/21 02:16:32:360',8,-161.124939,-7.260559,3
4098,'2017/02/21 02:16:32:375',8,-161.422104,-7.900238,3
4099,'2017/02/21 02:16:32:391',8,-161.741135,-7.609451,3
4100,'2017/02/21 02:16:32:408',8,-161.83699,-6.409393,3
4101,'2017/02/21 02:16:32:425',8,-161.94136,-4.6819,3
4102,'2017/02/21 02:16:32:441',8,-161.855988,-3.683624,3
4103,'2017/02/21 02:16:32:458',8,-161.436127,-3.580841,3
4104,'2017/02/21 02:16:32:473',8,-161.289139,-3.49321,3
4105,'2017/02/21 02:16:32:490',8,-161.462219,-3.371613,3
4106,'2017/02/21 02:16:32:507',8,-161.117477,-3.409561,3
4107,'2017/02/21 02:16:32:524',8,-160.669846,-4.055283,3
4108,'2017/02/21 02:16:32:540',8,-160.840118,-4.406403,3
4109,'2017/02/21 02:16:32:557',8,-159.974335,-4.826569,3
4110,'2017/02/21 02:16:32:574',8,-160.127197,-4.082108,3
4111,'2017/02/21 02:16:32:590',8,-159.834778,-3.627762,3
4112,'2017/02/21 02:16:32:610',8,-159.665268,-4.084869,3
4113,'2017/02/21 02:16:32:624',8,-158.732025,-4.547745,3
4114,'2017/02/21 02:16:32:640',8,-159.044403,-4.745087,3
4115,'2017/02/21 02:16:32:658',8,-159.378204,-4.427307,3
4116,'2017/02/21 02:16:32:673',8,-159.646027,-4.212555,3
4117,'2017/02/21 02:16:32:690',8,-159.998474,-4.280197,3
4118,'2017/02/21 02:16:32:706',8,-159.300171,-4.392227,3
4119,'2017/02/21 02:16:32:723',8,-159.726395,-6.257797,3
4120,'2017/02/21 02:16:32:740',8,-161.792938,-4.564438,3
4121,'2017/02/21 02:16:32:757',8,-161.746216,-3.668762,3
4122,'2017/02/21 02:16:32:773',8,-161.957123,-3.319885,3
4123,'2017/02/21 02:16:32:790',8,-161.803436,-3.062149,3
4124,'2017/02/21 02:16:32:806',8,-162.158966,-2.658752,3
4125,'2017/02/21 02:16:32:824',8,-160.996307,-3.03035,3
4126,'2017/02/21 02:16:32:840',8,-161.637634,-1.641403,3
4127,'2017/02/21 02:16:32:860',8,-161.546127,-3.16571,3
4128,'2017/02/21 02:16:32:873',8,-162.527588,-3.540405,3
4129,'2017/02/21 02:16:32:890',8,-163.495193,-1.854309,3
4130,'2017/02/21 02:16:32:912',8,-165.303116,-1.736099,3
4131,'2017/02/21 02:16:32:923',8,-165.231964,-0.741516,3
4132,'2017/02/21 02:16:32:940',8,-164.030182,-1.638046,3
4133,'2017/02/21 02:16:32:956',8,-163.400314,-1.96077,3
4134,'2017/02/21 02:16:32:974',8,-165.368973,-2.238617,3
4135,'2017/02/21 02:16:32:990',8,-165.897736,-1.12236,3
4136,'2017/02/21 02:16:33:007',8,-166.968079,0.326263,3
4137,'2017/02/21 02:16:33:024',8,-166.761887,0.086746,3
4138,'2017/02/21 02:16:33:040',8,-167.25354,0.291321,3
4139,'2017/02/21 02:16:33:057',8,-167.826553,0.177689,3
4140,'2017/02/21 02:16:33:073',8,-167.861404,0.716888,3
4141,'2017/02/21 02:16:33:089',8,-168.015503,0.827774,3
4142,'2017/02/21 02:16:33:105',8,-168.015503,0.827774,3
4143,'2017/02/21 02:16:33:122',8,-165.969177,3.914429,3
4144,'2017/02/21 02:16:33:139',8,-167.400482,1.097977,3
4145,'2017/02/21 02:16:33:155',8,-167.647888,0.602036,3
4146,'2017/02/21 02:16:33:173',8,-167.285187,1.272339,3
4147,'2017/02/21 02:16:33:189',8,-167.496811,1.893478,3
